http://greek-lod.math.auth.gr/kalikratis/resource/regions/11;Περιφέρεια Βορείου Αιγαίου;http://el.dbpedia.org/resource/Περιφέρεια_Βορείου_Αιγαίου
http://dbpedia.org/ontology/abstract;1;0
http://dbpedia.org/ontology/censusYear;1;0
http://dbpedia.org/ontology/populationMetro;1;0
http://dbpedia.org/ontology/thumbnail;1;0
http://dbpedia.org/ontology/wikiPageExternalLink;1;0
http://el.dbpedia.org/property/isocode;1;0
http://el.dbpedia.org/property/wikiPageUsesTemplate;1;0
http://el.dbpedia.org/property/έκταση;1;0
http://el.dbpedia.org/property/απογραφή;1;0
http://el.dbpedia.org/property/γεωγραφικόΔιαμέρισμα;1;0
http://el.dbpedia.org/property/εικόναΧάρτη;1;0
http://el.dbpedia.org/property/ιστοσελίδα;1;0
http://el.dbpedia.org/property/περιφέρειαΣτηΓενική;1;0
http://el.dbpedia.org/property/περιφέρειαΣτηνΟνομαστική;1;0
http://el.dbpedia.org/property/πληθυσμός;1;0
http://el.dbpedia.org/property/πρωτεύουσα;1;0
http://el.dbpedia.org/property/πυκνότηταΠληθυσμού;1;0
http://el.dbpedia.org/property/σελίδαΒικιπαίδειας;1;0
http://el.dbpedia.org/property/όνομαΠεριφερειάρχη;1;0
http://el.dbpedia.org/resource/Πρότυπο:Πληροφορίες_περιφέρειας_της_Ελλάδας;1;0
http://purl.org/dc/terms/subject;1;0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type;1;0
http://www.w3.org/2000/01/rdf-schema#comment;1;0
http://www.w3.org/2000/01/rdf-schema#label;1;0
http://www.w3.org/2002/07/owl#sameAs;1;0
http://xmlns.com/foaf/0.1/depiction;1;0
http://xmlns.com/foaf/0.1/homepage;1;0
http://xmlns.com/foaf/0.1/name;1;0
http://xmlns.com/foaf/0.1/page;1;0
http://dbpedia.org/ontology/region;0;1
http://dbpedia.org/ontology/wikiPageRedirects;0;1
http://el.dbpedia.org/property/title;0;1
http://el.dbpedia.org/property/διαίρεση;0;1
http://el.dbpedia.org/property/περιφέρεια;0;1
http://xmlns.com/foaf/0.1/primaryTopic;0;1
